Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
northeast mississippi community college,101 Cunningham Blvd Booneville MS 38829,(34.66733 -88.56065),$9350,$12630,351,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,&lt; 1%,18%,3%,1%,2%,75%
northeast state community college,2425 Hwy 75 Blountville TN 37617-0246,(36.48448 -82.40963),$4422,$17238,1138,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,1%,3%,4%,1%,5%,87%
northeast texas community college,2886 FM 1735 Mount Pleasant TX 75455,(33.10487 -94.878),$12721,$14161,422,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,2%,1%,10%,35%,1%,2%,50%
northeast wisconsin technical college,2740 W Mason St Green Bay WI 54307-9042,(44.52448 -88.1064),$4734,$6849,702,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,0%,3%,3%,10%,3%,2%,78%
northeastern illinois university,5500 N Saint Louis Ave Chicago IL 60625,(41.98123 -87.71623),$22806,$32897,330,('62%' '67%' '55%'),3399,('56%' '44%'),16%,Co-ed,('54%' '46%'),49%,3%,10%,12%,37%,&lt; 1%,11%,29%
northeastern junior college,100 College Avenue Sterling CO 80751-2944,(40.63701 -103.19752),$12323,$14624,347,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,3%,1%,2%,17%,&lt; 1%,5%,74%
northeastern oklahoma a and m college,200 I St NE Miami OK 74354,(36.87773 -94.86779),$11373,$17523,477,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,2%,1%,11%,8%,18%,15%,48%
northeastern state university,600 N Grand Tahlequah OK 74464,(35.91957 -94.96683),$15235,$23875,699,('99%' '99%' '99%'),1474,('60%' '40%'),48%,Co-ed,('57%' '43%'),64%,3%,2%,4%,6%,18%,21%,48%
northeastern technical college,1201 Chesterfield Hwy. Cheraw SC 29520,(34.70063 -79.93825),$5186,$7948,70,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,1%,46%,4%,2%,5%,42%
northeastern university,360 Huntington Ave Boston MA 02115,(42.34043 -71.08859),$75402,$75402,4504,('18%' '19%' '16%'),75244,('56%' '44%'),33%,Co-ed,('60%' '40%'),97%,19%,16%,4%,10%,&lt; 1%,13%,57%
northern arizona university nau,1900 S Knoles Dr Babbitt Administrative Center Room 200 Flagstaff AZ 86011,(35.18022 -111.65796),$23234,$37980,5297,('78%' '78%' '77%'),42872,('66%' '34%'),16%,Co-ed,('63%' '37%'),73%,4%,2%,4%,25%,3%,7%,59%
northern essex community college,100 Elliott Street Haverhill MA 01830-2399,(42.79746 -71.05118),$5544,$11328,508,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,1%,2%,4%,44%,&lt; 1%,4%,45%
