Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
wenatchee valley college,1300 Fifth St Wenatchee WA 98801,(47.42984 -120.33495),$11820,$12234,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),n/a,n/a
wentworth institute of technology wit,550 Huntington Ave Boston MA 02115,(42.33678 -71.09552),$53070,$53070,917,('90%' '91%' '88%'),5441,('28%' '72%'),19%,Co-ed,('21%' '79%'),83%,8%,8%,5%,10%,&lt; 1%,13%,65%
wesleyan college,4760 Forsyth Road Macon GA 31210,(32.87611 -83.71383),$37066,$37066,112,('62%' '62%' '0%'),1044,('100%' '0%'),17%,All-female,('100%' '0%'),78%,18%,2%,35%,5%,&lt; 1%,6%,51%
wesleyan university,45 Wyllys Avenue Middletown CT 06459,(41.55719 -72.65672),$79580,$79580,910,('19%' '17%' '22%'),13067,('62%' '38%'),36%,Co-ed,('52%' '48%'),96%,12%,9%,8%,13%,&lt; 1%,10%,61%
west chester university wcupa,University Avenue and High Street West Chester PA 19383,(39.95381 -75.59805),$24699,$36523,2628,('89%' '91%' '85%'),14020,('64%' '36%'),21%,Co-ed,('61%' '39%'),84%,1%,3%,11%,6%,&lt; 1%,4%,76%
west georgia technical college,176 Murphy Campus Blvd. Waco GA 30182,(33.68964 -85.18255),$3052,$5452,433,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),51%,0%,1%,34%,8%,&lt; 1%,3%,53%
west hills college coalinga,300 Cherry Lane Coalinga CA 93210,(36.14705 -120.35076),$9270,$18480,136,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,0%,7%,3%,70%,1%,6%,13%
west kentucky community and technical college,4810 Alben Barkley Drive Paducah KY 42002-7380,(37.05583 -88.66055),$4488,$15240,594,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,1%,8%,5%,&lt; 1%,5%,80%
west liberty university,208 University Drive West Liberty WV 26074,(40.164289 -80.603966),$18365,$26314,378,('74%' '75%' '70%'),1606,('64%' '36%'),32%,Co-ed,('64%' '36%'),72%,3%,1%,3%,1%,&lt; 1%,19%,77%
west los angeles college,9000 Overland Avenue Culver City CA 90230-3519,(34.00177 -118.39112),$1196,$8970,338,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
west shore community college,3000 N Stiles Rd Scottville MI 49454-0277,(44.00863 -86.34022),$4600,$6400,93,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,1%,1%,1%,10%,1%,4%,83%
west texas a and m university,2501 4th Ave Canyon TX 79016,(34.97981 -101.91578),$18152,$20158,1353,('97%' '97%' '96%'),5743,('59%' '41%'),24%,Co-ed,('57%' '43%'),67%,2%,2%,5%,29%,1%,4%,59%
west valley college,14000 Fruitvale Ave Saratoga CA 95070-5698,(37.26578 -122.01375),$1490,$10700,623,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),77%,1%,22%,3%,31%,1%,11%,33%
west virginia junior college charleston,5514 Big Tyler Road Suite 200 Cross Lanes WV 25313-1304,(38.42244 -81.78898),$14427,$14427,42,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),81%,0%,&lt; 1%,9%,&lt; 1%,&lt; 1%,2%,89%
