Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
kings college london,n/a,n/a,unknown,unknown,,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
little priest tribal college,601 E. College Drive Winnebago NE 68071-0270,(42.23529 -96.46773),$12130,$12130,11,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),45%,0%,1%,2%,&lt; 1%,71%,5%,21%
living arts college,3000 Wakefield Crossing Drive Raleigh NC 27614-7076,(35.9428 -78.55519),$26692,$26692,26,('47%' '44%' '50%'),58,('58%' '42%'),100%,Co-ed,('55%' '45%'),57%,0%,1%,61%,9%,2%,1%,26%
livingstone college,701 W Monroe St Salisbury NC 28144,(35.66922 -80.48059),$25090,$25090,204,('51%' '48%' '54%'),3811,('54%' '46%'),10%,Co-ed,('37%' '63%'),50%,1%,&lt; 1%,81%,1%,&lt; 1%,16%,1%
lock haven university,401 North Fairview Street Lock Haven PA 17745,(41.14073 -77.46086),$21228,$31052,524,('95%' '96%' '92%'),2096,('59%' '41%'),26%,Co-ed,('57%' '43%'),65%,1%,1%,11%,2%,1%,4%,82%
logan university,1851 Schoettler Rd Chesterfield MO 63017,(38.63339 -90.53532),$6600,$6600,12,('66%' '66%' '62%'),29,('72%' '28%'),100%,Co-ed,('73%' '27%'),50%,1%,4%,9%,2%,1%,10%,73%
lone star college system,5000 Research Forest Drive The Woodlands TX 77381-4399,(30.187545 -95.489252),$4800,$6120,6630,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
long beach city college,4901 E. Carson St. Long Beach CA 90808-1706,(33.83434 -118.13432),$1472,$11360,2457,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,0%,9%,11%,59%,1%,5%,15%
long island business institute,136-18 39th Avenue Fifth Floor Flushing NY 11354-5577,(40.76041 -73.82953),$11066,$11066,287,('69%' '69%' '66%'),561,('79%' '21%'),74%,Co-ed,('84%' '16%'),37%,2%,54%,10%,30%,&lt; 1%,1%,5%
long island university,720 Northern Blvd Brookville NY 11548,(40.82047 -73.59376),$54548,$54548,1198,('93%' '94%' '91%'),17423,('72%' '28%'),7%,Co-ed,('62%' '38%'),74%,3%,10%,13%,14%,&lt; 1%,21%,42%
longwood university,201 High St Farmville VA 23909,(37.30162 -78.39422),$28078,$39474,718,('90%' '91%' '86%'),5977,('67%' '33%'),13%,Co-ed,('69%' '31%'),75%,2%,4%,10%,6%,&lt; 1%,8%,73%
lorain county community college,1005 North Abbe Rd Elyria OH 44035-1691,(41.41349 -82.07712),$4465,$8405,643,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
loras college,1450 Alta Vista Dubuque IA 52004,(42.50315 -90.68174),$44028,$44028,296,('72%' '74%' '70%'),2086,('38%' '62%'),20%,Co-ed,('36%' '64%'),81%,2%,1%,2%,8%,&lt; 1%,8%,81%
los angeles city college,855 N Vermont Ave Los Angeles CA 90029,(34.08773 -118.29323),$1196,$8970,614,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),56%,2%,11%,8%,53%,&lt; 1%,6%,21%
los angeles harbor college,1111 Figueroa Place Wilmington CA 90744-2397,(33.78381 -118.28133),$1238,$9012,465,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),72%,1%,11%,10%,60%,1%,7%,11%
los angeles mission college,13356 Eldridge Avenue Sylmar CA 91342-3200,(34.31441 -118.42019),$1238,$9012,473,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,5%,3%,76%,&lt; 1%,4%,12%
los angeles pacific college,3325 Wilshire Boulevard Suite 550 Los Angeles CA 90010-1758,(34.06176 -118.2949),$7130,$7130,,n/a,n/a,n/a,n/a,Very diverse,('n/a' 'n/a'),n/a,n/a
los angeles pierce college,6201 Winnetka Ave Woodland Hills CA 91371-0002,(34.18269 -118.57096),$1196,$8970,1180,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),74%,1%,9%,5%,49%,&lt; 1%,8%,29%
